Component,BDD_Refs,Checklist_Refs,Real_Data,Decision,Reason
AccessRoleManager,       0,       0,       1,KEEP,Uses real data
Dashboard,      64,     141,       1,KEEP,Found in BDD/checklist
DashboardBDD,       0,       0,       1,KEEP,Uses real data
EmployeeListBDD,       0,       0,       0,CHECK,Needs manual review
ErrorBoundary,       0,       0,       0,CHECK,Needs manual review
IntegrationTester,       0,       0,       1,KEEP,Uses real data
LoadingSpinner,       0,       0,       0,CHECK,Needs manual review
Login,      67,      56,       0,KEEP,Found in BDD/checklist
MobilePersonalCabinetBDD,       0,       0,       1,KEEP,Uses real data
OperationalControlDashboard,       0,       0,       1,KEEP,Uses real data
ScheduleGridBDD,       0,       0,       0,CHECK,Needs manual review
VacationSchemeConfigurator,       0,       0,       0,CHECK,Needs manual review
WorkRuleEditor,       0,       0,       0,CHECK,Needs manual review
Dashboard.test,       0,       0,       1,KEEP,Uses real data
Login.test,       1,       1,       0,KEEP,Found in BDD/checklist
DraggableShift,       0,       0,       0,CHECK,Needs manual review
GridCell,       0,       0,       0,CHECK,Needs manual review
GridHeader,       0,       0,       0,CHECK,Needs manual review
GridShowcase,       0,       0,       0,CHECK,Needs manual review
ScheduleGrid,       0,       0,       0,CHECK,Needs manual review
VirtualizedScheduleGrid,       0,       0,       0,CHECK,Needs manual review
AdvancedRoleEditor,       0,       0,       0,CHECK,Needs manual review
SecurityAuditDashboard,       0,       0,       0,CHECK,Needs manual review
SystemBackupManager,       0,       0,       0,CHECK,Needs manual review
SystemConfigManager,       0,       0,       0,CHECK,Needs manual review
UserActivityMonitor,       0,       0,       1,KEEP,Uses real data
AuditLog,       0,       0,       1,KEEP,Uses real data
ConfigEditor,       0,       0,       0,CHECK,Needs manual review
RoleManager,       0,       0,       0,CHECK,Needs manual review
SystemHealth,       0,       0,       1,KEEP,Uses real data
SystemSettings,       0,       0,       0,CHECK,Needs manual review
UserPermissions,       0,       0,       1,KEEP,Uses real data
AccuracyMetricsDashboard,       0,       0,       1,KEEP,Uses real data
CapacityPlanningOptimizer,       0,       0,       0,CHECK,Needs manual review
DemandForecastingEngine,       0,       0,       1,KEEP,Uses real data
DemandVariabilityAnalyzer,       0,       0,       1,KEEP,Uses real data
MultiHorizonForecaster,       0,       0,       1,KEEP,Uses real data
PredictiveMaintenanceForecaster,       0,       0,       1,KEEP,Uses real data
ScenarioModelingEngine,       0,       0,       1,KEEP,Uses real data
SeasonalTrendAnalyzer,       0,       0,       1,KEEP,Uses real data
AdvancedMetricsAnalyzer,       0,       0,       1,KEEP,Uses real data
BusinessIntelligenceDashboard,       0,       0,       0,CHECK,Needs manual review
ComplianceReportingCenter,       0,       0,       0,CHECK,Needs manual review
PerformanceForecastDashboard,       0,       0,       1,KEEP,Uses real data
PredictiveAnalyticsEngine,       0,       0,       0,CHECK,Needs manual review
RealTimeDataVisualization,       0,       0,       0,CHECK,Needs manual review
ForecastChart,       0,       0,       1,KEEP,Uses real data
PeakAnalysisChart,       0,       0,       1,KEEP,Uses real data
Badge,       1,       0,       0,KEEP,Found in BDD/checklist
Button,      43,      31,       0,KEEP,Found in BDD/checklist
Card,       4,      13,       0,KEEP,Found in BDD/checklist
DatePicker,       0,       0,       0,CHECK,Needs manual review
GearMenu,       0,       0,       0,CHECK,Needs manual review
Input,      36,      29,       0,KEEP,Found in BDD/checklist
Label,       6,       2,       0,KEEP,Found in BDD/checklist
Progress,      52,      28,       0,KEEP,Found in BDD/checklist
SaveIndicator,       0,       0,       0,CHECK,Needs manual review
SaveWarningDialog,       0,       0,       0,CHECK,Needs manual review
Select,     154,     350,       0,KEEP,Found in BDD/checklist
Switch,      10,      10,       0,KEEP,Found in BDD/checklist
