Component,BDD_Refs,Checklist_Refs,Real_Data,Decision,Reason
GrowthFactorDialog,       0,       0,       1,KEEP,Uses real data
IntegrationTester,       0,       0,       1,KEEP,Uses real data
GuidedTour,       0,       0,       0,ARCHIVE,Demo/experimental only
DemoMode,       0,       0,       1,KEEP,Uses real data
ComparisonView,       0,       0,       0,ARCHIVE,Demo/experimental only
ROICalculator,       0,       0,       1,KEEP,Uses real data
MobilePersonalCabinetBDD,       0,       0,       1,KEEP,Uses real data
BusinessIntelligenceReports,       0,       0,       0,KEEP,Core WFM functionality
DatabaseQueryBuilder,       0,       0,       0,KEEP,Core WFM functionality
RealtimeDataMonitor,       0,       0,       1,KEEP,Uses real data
DataSyncDashboard,       0,       0,       1,KEEP,Uses real data
SystemHealthMonitor,       0,       0,       1,KEEP,Uses real data
ApiEndpointTester,       0,       0,       0,KEEP,Core WFM functionality
SystemConfigManager,       0,       0,       0,KEEP,Core WFM functionality
SecurityAuditDashboard,       0,       0,       0,KEEP,Core WFM functionality
SystemBackupManager,       0,       0,       0,KEEP,Core WFM functionality
UserActivityMonitor,       0,       0,       1,KEEP,Uses real data
AdvancedRoleEditor,       0,       0,       0,KEEP,Core WFM functionality
Login,      67,      56,       0,KEEP,Found in BDD/checklist
OperationalControlDashboard,       0,       0,       1,KEEP,Uses real data
Dashboard,      64,     141,       1,KEEP,Found in BDD/checklist
ComplianceReportingCenter,       0,       0,       0,KEEP,Core WFM functionality
PredictiveAnalyticsEngine,       0,       0,       0,KEEP,Core WFM functionality
AdvancedMetricsAnalyzer,       0,       0,       1,KEEP,Uses real data
BusinessIntelligenceDashboard,       0,       0,       0,KEEP,Core WFM functionality
PerformanceForecastDashboard,       0,       0,       1,KEEP,Uses real data
RealTimeDataVisualization,       0,       0,       0,KEEP,Core WFM functionality
EmployeeListBDD,       0,       0,       0,KEEP,Core WFM functionality
UserPermissions,       0,       0,       1,KEEP,Uses real data
ConfigEditor,       0,       0,       0,KEEP,Core WFM functionality
SystemSettings,       0,       0,       0,KEEP,Core WFM functionality
RoleManager,       0,       0,       0,KEEP,Core WFM functionality
SystemHealth,       0,       0,       1,KEEP,Uses real data
AuditLog,       0,       0,       1,KEEP,Uses real data
QueueManager,       0,       0,       1,KEEP,Uses real data
SkillOptimizer,       0,       0,       1,KEEP,Uses real data
SkillMatrix,       0,       0,       1,KEEP,Uses real data
PeakAnalysisChart,       0,       0,       1,KEEP,Uses real data
ForecastChart,       0,       0,       1,KEEP,Uses real data
CapacityPlanningOptimizer,       0,       0,       0,KEEP,Core WFM functionality
MultiHorizonForecaster,       0,       0,       1,KEEP,Uses real data
DemandForecastingEngine,       0,       0,       1,KEEP,Uses real data
PredictiveMaintenanceForecaster,       0,       0,       1,KEEP,Uses real data
DemandVariabilityAnalyzer,       0,       0,       1,KEEP,Uses real data
AccuracyMetricsDashboard,       0,       0,       1,KEEP,Uses real data
ScenarioModelingEngine,       0,       0,       1,KEEP,Uses real data
SeasonalTrendAnalyzer,       0,       0,       1,KEEP,Uses real data
CareerDevelopmentPlanner,       0,       0,       0,ARCHIVE,Demo/experimental only
TrainingProgramManager,       0,       0,       0,KEEP,Core WFM functionality
PerformanceTracker,       0,       0,       0,KEEP,Core WFM functionality
EmployeeOnboardingPortal,       0,       0,       0,KEEP,Core WFM functionality
CompetencyAssessmentCenter,       0,       0,       0,KEEP,Core WFM functionality
SkillsMatrixManager,       0,       0,       0,KEEP,Core WFM functionality
PendingRequestsList,       0,       0,       0,KEEP,Core WFM functionality
RequestApprovalButtons,       0,       0,       0,KEEP,Core WFM functionality
WorkRuleEditor,       0,       0,       0,KEEP,Core WFM functionality
RealTimeDashboard,       0,       0,       1,KEEP,Uses real data
RealtimeMetrics,       0,       0,       1,KEEP,Uses real data
AlertsPanel,       0,       0,       1,KEEP,Uses real data
PerformanceMetrics,       0,       0,       1,KEEP,Uses real data
Tabs,      11,       4,       0,KEEP,Found in BDD/checklist
DatePicker,       0,       0,       0,KEEP,Core WFM functionality
Card,       4,      13,       0,KEEP,Found in BDD/checklist
Progress,      52,      28,       0,KEEP,Found in BDD/checklist
Label,       6,       2,       0,KEEP,Found in BDD/checklist
Switch,      10,      10,       0,KEEP,Found in BDD/checklist
GearMenu,       0,       0,       0,ARCHIVE,Demo/experimental only
SaveWarningDialog,       0,       0,       0,KEEP,Core WFM functionality
Badge,       1,       0,       0,KEEP,Found in BDD/checklist
Button,      43,      31,       0,KEEP,Found in BDD/checklist
SaveIndicator,       0,       0,       0,KEEP,Core WFM functionality
Toast,       0,       0,       0,KEEP,Core WFM functionality
Select,     154,     350,       0,KEEP,Found in BDD/checklist
Textarea,       0,       0,       0,ARCHIVE,Demo/experimental only
Input,      36,      29,       0,KEEP,Found in BDD/checklist
ShiftPatternDesigner,       0,       0,       0,KEEP,Core WFM functionality
AutoSchedulingEngine,       0,       0,       0,KEEP,Core WFM functionality
ConflictResolutionCenter,       0,       0,       0,KEEP,Core WFM functionality
ScheduleOptimizer,       0,       0,       0,KEEP,Core WFM functionality
ScheduleTemplateLibrary,       0,       0,       0,KEEP,Core WFM functionality
ScheduleComplianceChecker,       0,       0,       0,KEEP,Core WFM functionality
AdvancedScheduleBuilder,       0,       0,       0,KEEP,Core WFM functionality
Dashboard.test,       0,       0,       1,KEEP,Uses real data
Login.test,       1,       1,       0,KEEP,Found in BDD/checklist
DashboardBDD,       0,       0,       1,KEEP,Uses real data
MobileNotifications,       0,       0,       0,KEEP,Core WFM functionality
MobileLogin,       0,       0,       1,KEEP,Uses real data
MobileProfile,       0,       0,       1,KEEP,Uses real data
MobileOfflineIndicator,       0,       0,       0,KEEP,Core WFM functionality
MobileShiftExchange,       0,       0,       0,KEEP,Core WFM functionality
MobileRequestForm,       0,       0,       0,KEEP,Core WFM functionality
MobileCalendarView,       0,       0,       0,KEEP,Core WFM functionality
LoadingSpinner,       0,       0,       0,KEEP,Core WFM functionality
WorkflowDashboard,       0,       0,       0,KEEP,Core WFM functionality
WorkflowMetrics,       0,       0,       1,KEEP,Uses real data
WorkflowHistory,       0,       0,       0,KEEP,Core WFM functionality
ApprovalQueue,       0,       0,       0,KEEP,Core WFM functionality
EscalationManager,       0,       0,       0,KEEP,Core WFM functionality
WorkflowTracker,       0,       0,       0,KEEP,Core WFM functionality
AccessRoleManager,       0,       0,       1,KEEP,Uses real data
WorkflowOptimization,       0,       0,       1,KEEP,Uses real data
WorkflowReporting,       0,       0,       1,KEEP,Uses real data
WorkflowTemplates,       0,       0,       0,KEEP,Core WFM functionality
WorkflowAutomation,       0,       0,       0,KEEP,Core WFM functionality
WorkflowIntegrations,       0,       0,       0,KEEP,Core WFM functionality
ScheduleGridBDD,       0,       0,       0,KEEP,Core WFM functionality
TrendAnalysis,       0,       0,       1,KEEP,Uses real data
IntegrationMonitor,       0,       0,       1,KEEP,Uses real data
SLAMonitor,       0,       0,       1,KEEP,Uses real data
RealtimeMetrics,       0,       0,       1,KEEP,Uses real data
ExecutiveDashboard,       0,       0,       1,KEEP,Uses real data
AlertConfiguration,       0,       0,       1,KEEP,Uses real data
